Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
‘israel’s snl’ provides much-needed laughs to a traumatized nation,1/16/2024,Washington Post,2
‘it all feels like a nightmare’ this mom and former israeli tank commander is leading her tech startup from a war zone,11/3/2023,CNN,2
‘it became our foreign policy priority whether we liked it or not’,10/7/2024,Politico,2
‘it can’t be harris-biden’,7/24/2024,Politico,2
‘it was a family home’ exiled gazan learns his relatives were killed in an israeli strike,12/20/2023,New York Times,2
‘it was pure retaliation’: the feud that will define the senate gop,5/25/2024,Politico,2
‘it’s a disgrace:’ actor guy pearce responds to vanity fair france’s edit of palestine flag pin,5/30/2024,CNN,2
"‘it’s chaos:’ starving gazans dig for food, supplies under the rubble",12/5/2023,CNN,2
‘it’s just agony’: a suburban family mourns nearly 200 gaza relatives,4/24/2024,New York Times,2
‘it’s not a war or a battlefield it’s a massacre’,10/10/2023,New York Times,2
‘it’s so lonely’: desperate families of israeli hostages are still in the dark a week on from hamas rampage,10/15/2023,CNN,2
‘it’s terrifying’: residents in israel’s north brace for another possible front,10/11/2023,New York Times,2
‘it’s time to act’: mcconnell pushes ukraine-border plan despite johnson’s doubts,1/18/2024,Washington Post,2
‘it’s up to israel to define what defeat is’,11/8/2023,Politico,2
‘jesus in the rubble’: christmas celebrations in bethlehem canceled,12/23/2023,Washington Post,2
‘june zero’: bearing witness to the death of adolf eichmann,7/4/2024,Washington Post,2
‘kidnapped: the abduction of edgardo mortara’ review: church vs state,5/23/2024,New York Times,2
‘kidnapped’ posters express anguish over israeli hostages,10/16/2023,New York Times,2
‘killers of the flower moon’,10/22/2023,New York Times,2
"‘last week, we had hope’: the poignant words of hostages’ families before accidental killings by israeli troops",12/15/2023,CNN,2
‘mass casualties’ as un shelter struck amid intense fighting in khan younis,1/25/2024,CNN,2
‘moving in the dark’: hamas documents show tunnel battle strategy,9/2/2024,New York Times,2
"‘my memory is fine,’ a defiant biden declares after special counsel report",2/8/2024,New York Times,2
"‘my whole family has perished:’ 22 killed in israeli airstrike on rafah, hospital staff say",4/29/2024,CNN,2
"‘netanyahu got all the warnings,’ says former head of israeli military intelligence",10/24/2023,Politico,2
‘netanyahu let us down’: trump chides israel just days after attack,10/12/2023,Politico,2
‘never going back:’ israelis evacuated from border town with lebanon fear war with hezbollah,11/20/2023,CNN,2
‘no evidence’ biden’s sudan policy is working,5/31/2024,Politico,2
‘no international protection at all’ grief and anger erupt on air after another palestinian journalist is killed in gaza,11/4/2023,CNN,2
‘no safe area’: cnn journalist details his family’s desperate flight south from gaza city,10/16/2023,CNN,2
‘not knowing’ plunges the families of israel’s missing into a limbo of pain and numbness,10/17/2023,AP News,2
‘nothing has changed about our policy’,3/25/2024,Politico,2
‘nothing is moving:’ families’ anger grows in israel as hostages mark 100 days in hamas captivity,1/13/2024,CNN,2
"‘nowhere safe’: in southern gaza, a scramble in vain to outrun the war",10/26/2023,Washington Post,2
‘nowhere to go’: ordinary palestinians live in fear as israel retaliates against hamas,10/9/2023,CNN,2
"‘october rain,’ israel’s proposed eurovision entry, causes a storm",2/22/2024,New York Times,2
‘part of my core’: how schumer decided to speak out against netanyahu,3/19/2024,New York Times,2
‘please stop this’ gaza’s hospitals are failing under the weight of war us medical groups are scrambling to help,11/11/2023,CNN,2
‘replace him’: thousands rally against netanyahu’s government in tel aviv,3/31/2024,New York Times,2
‘saturday night live’ presents trump bibles,3/31/2024,New York Times,2
‘screams without words’: how hamas weaponized sexual violence on oct 7,12/28/2023,New York Times,2
‘sh-t thing to say’: tempers flare among house dems over the israel war,10/11/2023,Politico,2
"‘shadows of children:’ for the youngest hostages, life moves forward in whispers",8/6/2024,AP News,2
‘significant progress’ on qatar-led negotiations to release hostages from hamas but issues remain,10/27/2023,CNN,2
‘signs of life’ on longshot senate border deal,11/16/2023,Washington Post,2
‘start-up nation’ is tested as israel’s reservists leave their desks,10/13/2023,New York Times,2
‘tell us where our children are?’ first bodies exhumed from mass graves at al-shifa hospital after israeli siege,4/9/2024,CNN,2
‘the antisemitism is absolutely disproportionate’,4/14/2024,Politico,2
‘the children were terrified’ fear grips israel and gaza,10/7/2023,New York Times,2
‘the daily’ explores how the attacks have changed israel’s calculus on hamas,10/11/2023,New York Times,2
‘the daily’ podcast interviews the mother of a hamas hostage,10/20/2023,New York Times,2
‘the destruction is massive’: khan younis residents return to rubble after israeli military withdraws,7/30/2024,CNN,2
‘the man broke my heart’: biden’s arab-american boosters begin to leave his side,10/23/2023,Politico,2
‘the reaction is extreme’: palestinians fear arrest if they voice sympathy for gaza civilians,11/5/2023,CNN,2
‘the republicans are being total hypocrites’,5/4/2024,Politico,2
‘the whole building fell on us’: blast at refugee camp in central gaza kills dozens,11/5/2023,CNN,2
‘the wrong person’: senate republicans slam biden’s pick for israel ambassador,10/18/2023,Politico,2
‘there is no childhood in gaza’,8/17/2024,New York Times,2
‘there is no comparison’: ernst knocks trump over ‘hostages’ comments,1/14/2024,Politico,2
‘there is no way i can leave family members behind’: palestinian-americans in gaza face unthinkable choice,10/17/2023,CNN,2
‘there were terrorists inside’: an israeli recounts how militants invaded his village,10/8/2023,New York Times,2
‘there were terrorists inside’: how hamas’s attack on israel unfolded,10/8/2023,New York Times,2
‘there will be a political reckoning in israel’,3/19/2024,Politico,2
‘there’s going to be a lot of soul-searching in israel when this is over’,10/7/2023,Politico,2
"‘these babies, these ladies, these old people’: macron mourns civilian deaths and urges an israeli cease-fire",11/10/2023,New York Times,2
‘they have crossed a line’: australian university orders pro-palestinian protesters to leave building,5/16/2024,CNN,2
‘they wanted to humiliate us’ palestinian women detained by israel allege abuse in israeli custody,3/2/2024,AP News,2
‘this is collective punishment:’ west bank palestinians under curfew say they are being punished for something they did not do,11/23/2023,CNN,2
‘this is no time’: rivals rip trump for criticizing netanyahu,10/12/2023,Politico,2
"‘this is the blood of my son’: while israel hailed rescue of four hostages, palestinians recall the horrors",6/26/2024,CNN,2
‘this is where i want to be’: israel dispatch,2/11/2024,New York Times,2
‘time is running out’: family members of israeli-american hostages meet with biden’s top advisers at the white house,1/19/2024,CNN,2
"‘tomorrow, i kill you:’ rescued hostage details psychological abuse during eight months of hamas captivity",7/12/2024,CNN,2
‘totally inappropriate’: netanyahu condemns schumer for meddling,3/17/2024,Politico,2
‘twisters’ and the appeal of the sequel,7/20/2024,New York Times,2
‘uncommitted’ activists at the dnc think twice about harris,8/22/2024,Politico,2
‘uncommitted’ group says it won’t endorse harris over gaza concerns,9/19/2024,New York Times,2
‘uncommitted’ group won’t endorse harris as she swings through michigan,9/19/2024,Politico,2
‘uncommitted’ voters want role at convention,8/15/2024,Washington Post,2
‘united because of this disaster’: israelis rush to volunteer after hamas attacks,10/13/2023,New York Times,2
"‘we are at war,’ netanyahu says after hamas attacks israel",10/7/2023,New York Times,2
‘we are completely besieged’: one of last doctors left in gaza’s nasser hospital says patients’ fate no longer in his control,2/21/2024,CNN,2
‘we are deeply concerned’ – progressive lawmakers make plea to biden ahead of israel’s gaza campaign,10/13/2023,Politico,2
‘we are not very far from an explosion’,1/31/2024,New York Times,2
‘we are officially hostages’ how the israeli kibbutz of nir oz embodied hamas’ hostage strategy,12/15/2023,AP News,2
‘we are waiting’: family of an israeli hostage marks her birthday,10/12/2023,New York Times,2
‘we have no water’: gaza faces deeper humanitarian crisis as israel tightens its hold,10/10/2023,CNN,2
‘we have only our hands and they have guns’,10/18/2023,New York Times,2
"‘we have the right to live’ starvation, disease, and winter chill threaten the survival of displaced civilians in gaza",12/14/2023,CNN,2
‘we look 100 percent weak’: us airdrops in gaza expose limit to biden’s israel policy,3/1/2024,Politico,2
‘we might as well call them the harry potter ministry of magic’,5/26/2024,Politico,2
"‘we need a cease-fire,’ biden says",3/5/2024,New York Times,2
‘we went back to the stone age’,11/26/2023,New York Times,2
‘we were not allowed to cry:’ released israeli hostage describes the ‘hell’ of being held in gaza,3/7/2024,CNN,2
"‘we were walking in water, sand, mud’: palestinian women describe terror of 12-mile escape on foot from gaza city",2/12/2024,CNN,2
‘we will dance again’ review: remembering oct 7,9/24/2024,New York Times,2
‘we won’t write blank checks’: biden urges congress to pass ukraine and israel aid,4/17/2024,Politico,2
‘we would need to make choices’: why biden is threatening israel now,5/9/2024,Politico,2
‘we’ll be at each others’ throats’: fiona hill on what happens if putin wins,12/12/2023,Politico,2
"‘we’re not a banana republic,’ netanyahu says, rejecting criticism from us",3/17/2024,New York Times,2
‘we’ve been shaken out of this fantasy’: how the left sees the war in israel,10/9/2023,Politico,2
"‘we’ve closed the gaps, but there are still gaps,’ blinken says of cease-fire talks",3/21/2024,New York Times,2
‘wedding day at the cro-magnons’’ review: a bittersweet premiere: theater review,6/10/2024,New York Times,2
‘what’s the problem?’ zelensky challenges west over hesitations,5/21/2024,New York Times,2
‘where is the palestinian gandhi?’,5/1/2024,New York Times,2
"‘where will i leave these children, on the street?’ the struggle for survival faced by disabled palestinians in gaza",11/17/2023,CNN,2
"‘wherever you go in israel, in any place, you find someone in common’",10/9/2023,New York Times,2
‘world’s coolest dictator’ heads for landslide win in el salvador: what to know,2/3/2024,Washington Post,2
‘world’s coolest dictator’ reelected in el salvador: what to know,2/3/2024,Washington Post,2
‘worst attack on israel since the yom kippur war’: blinken condemns hamas attack on israel,10/8/2023,Politico,2
‘you are in the line of fire’: what it’s like to be an israeli reporter covering the unfolding war,10/9/2023,CNN,2
‘you get home and then start crying’: israel’s body collectors encounter horrors beyond their worst nightmares,10/28/2023,CNN,2
‘you just gaslit her’: how dean phillips’s first town hall went off the rails in nh,11/2/2023,Washington Post,2
‘you no longer represent us’: new jersey muslims mobilize against longtime congressman over israel stance,12/22/2023,Politico,2
‘zone of interest’ oscars speech is defended by jewish film artists,4/5/2024,New York Times,2
"""act of sheer evil"": biden's forceful condemnation of hamas hailed by israel",10/11/2023,Axios,2
“biden’s neglect has been atrocious we had floridians that were over there after the attack he left them stranded”,11/8/2023,New York Times,2
"""it is not enough"": blinken urges israel to increase humanitarian aid to gaza",4/29/2024,Axios,2
"“they burned her:"" at the end of an awful wait for news comes word that a feared hostage is dead",10/18/2023,AP News,2
"""tragic milestone"": biden marks 100 days in captivity for hamas hostages in gaza",1/15/2024,Axios,2
"""we got played"": israel frustrated with us over hostage talks",5/7/2024,Axios,2
"“we had a group, students for justice of palestine""",11/8/2023,New York Times,2
"""we have to go in,"" bibi tells biden as israel prepares for possible ground invasion of gaza",10/9/2023,Axios,2
"""we won't support you"": inside biden's ultimatum to bibi",4/5/2024,Axios,2
1 of 3 palestinian college students shot in vermont released from hospital on same day suspect pleads not guilty,11/28/2023,CNN,2
10 highlights from the venice biennale,4/24/2024,New York Times,2
"10 stops in 5 days, plus an air raid shelter, for blinken",10/16/2023,New York Times,2
"10 thai nationals, 1 filipino released from gaza, officials say",11/24/2023,Washington Post,2
"100 days of war in gaza, in photos",1/14/2024,Axios,2
"100-year-old vet returns to normandy and marries bride, 96, near d-day beaches",6/9/2024,Washington Post,2
11 hostages released into israel after pause in fighting extended for two days,11/27/2023,Washington Post,2
11 more hostages released in gaza,11/27/2023,USATODAY,2
"11 us citizens dead in israel conflict, biden says",10/9/2023,CNN,2
112 killed waiting for food in gaza,2/29/2024,USATODAY,2
"12 are killed in israeli raids in the west bank since monday, and other news",8/6/2024,New York Times,2
12 departing lawmakers tell us what congress is really like,4/30/2024,New York Times,2
12 more hostages are freed in gaza,11/28/2023,USATODAY,2
120 antiwar protesters arrested at nyu; calif students form barricade,4/23/2024,Washington Post,2
13 emerging faith leaders who made their mark in 2023,12/29/2023,Washington Post,2
"13 killed in israeli raid on west bank refugee camp, officials say",4/20/2024,Washington Post,2
"16 hostages released wednesday, including an american, biden says",11/29/2023,Washington Post,2
17 hostages and 39 palestinian prisoners released in second exchange,11/25/2023,Washington Post,2
17 hostages and 39 palestinian prisoners released in second exchange,11/25/2023,Washington Post,2
"178 killed in gaza after strikes resume, local health officials say",12/1/2023,Washington Post,2
18 arrested at israeli nationalist flag march through east jerusalem,6/5/2024,New York Times,2
2 attacks launched by yemen’s houthi rebels strike container ships in vital red sea corridor,12/15/2023,AP News,2
2 books go behind bars with palestinians,5/1/2024,New York Times,2
2 french boys are accused of raping a 12-year-old jewish girl in an act of antisemitism,6/19/2024,AP News,2
2 hostages killed after making video,1/17/2024,USATODAY,2
"2 israeli hostages’ bodies were recovered near al-shifa hospital, army says",11/16/2023,New York Times,2
"2-state solution remains key to ending israel-hamas war, sullivan says",2/4/2024,Politico,2
"2,000 children killed in gaza, aid group says, as tempers flare at un amid ceasefire calls",10/24/2023,CNN,2
"2,000-pound bombs likely used in mawasi strike",9/10/2024,New York Times,2
"20 pop and jazz albums, shows and festivals coming this fall",9/6/2024,New York Times,2
"20,000 dead",12/23/2023,AP News,2
2015 image of journalist wounded in east jerusalem spreads as new,11/7/2023,AP News,2
2022 saw the highest rate of recorded antisemitic incidents in the us american jews fear the israel-hamas conflict could make things worse,10/13/2023,CNN,2
2023 in photos: a weary world,12/18/2023,New York Times,2
"2023 in photos: taylor swift, trump and more",12/26/2023,Axios,2
"2024 elections, texas wildfires, israel-hamas war: wednesday's news",3/6/2024,USATODAY,2
"2024 olympics, katie ledecky, hamas, interest rates: wednesday's news",7/31/2024,USATODAY,2
2024: the foreign policy election?,10/20/2023,Politico,2
21 israeli soldiers killed while trying to build gaza buffer,1/23/2024,Washington Post,2
21 israeli troops are killed in the deadliest attack on the military since the gaza offensive began,1/24/2024,AP News,2
"22 americans dead, others missing as israel goes to war against hamas",10/8/2023,Washington Post,2
24 soldiers killed on deadliest day for israeli forces in gaza combat,1/23/2024,CNN,2
25 arrested at university of virginia after police clash with pro-palestinian protesters,5/4/2024,AP News,2
"3 american troops killed, 34 injured",1/28/2024,USATODAY,2
"3 commercial ships hit by missiles in houthi attack in red sea, us warship downs 3 drones",12/5/2023,AP News,2
"3 hostages likely killed by israeli strike last fall, idf says",9/15/2024,New York Times,2
"3 israeli hostages mistakenly killed by israeli troops in gaza, military says",12/15/2023,Axios,2
3 more college leaders to face congress over antisemitism claims,5/22/2024,New York Times,2
"3-day israeli raid in jenin kills at least 12 palestinians, west bank officials say",12/14/2023,New York Times,2
300 arrested as jewish protesters in dc demand israel-gaza cease-fire,10/18/2023,Washington Post,2
31 babies rescued from gaza hospital,11/19/2023,USATODAY,2
"31 premature babies are evacuated from gaza’s largest hospital, but scores of trauma patients remain",11/20/2023,AP News,2
"32 babies in critical condition are among the patients left at gaza’s main hospital, un team says",11/19/2023,AP News,2
34 hours of fear: the blackout that cut gaza off from the world,10/29/2023,New York Times,2
"34 pro-palestinian protesters arrested for disrupting macy’s parade, police say",11/24/2023,Washington Post,2
"34 taken into custody after pro-palestinian protest at brooklyn museum, artwork damage reported",6/1/2024,AP News,2
"360,000 flee rafah as fighting intensifies",5/13/2024,USATODAY,2
4 israeli soldiers are killed in rafah in apparent ambush,6/11/2024,New York Times,2
"4 scenarios for next phase in gaza war, with ‘intense’ fighting set to end",6/24/2024,New York Times,2
4 takeaways from the colorado supreme court’s decision disqualifying trump,12/20/2023,Washington Post,2
"4-year-old american among hostages released by hamas, biden says",11/26/2023,Politico,2
4-year-old israeli american hostage is released,11/26/2023,CNN,2
5 key speeches from day 1 of the democratic national convention,8/20/2024,Washington Post,2
5 scenarios for russia after putin’s next term,3/16/2024,Politico,2
5 takeaways from the democratic convention and the obamas on day 2,8/21/2024,Washington Post,2
5 takeaways from the democratic convention and tim walz on day 3,8/22/2024,Washington Post,2
"5 things for may 14: ukraine, gaza, trump trial, abortion, baltimore bridge",5/14/2024,CNN,2
5 things podcast: biden says no ceasefire until hostages released,10/24/2023,USATODAY,2
"5 things podcast: death tolls rise in israel and gaza, online hate",10/12/2023,USATODAY,2
5 things podcast: historic orthodox church in gaza city bombed,10/20/2023,USATODAY,2
"5 things podcast: israel attacks gaza, americans unaccounted for",10/11/2023,USATODAY,2
5 things podcast: israel declares war after hamas attacks,10/9/2023,USATODAY,2
"5 things podcast: israel hamas war, electing house speaker",10/10/2023,USATODAY,2
"5 things podcast: israel-hamas war, hunter biden investigation",10/16/2023,USATODAY,2
5 things podcast: israeli airstrikes hit refugee camps,11/6/2023,USATODAY,2
"5 things podcast: palestinians flee gaza, gop nom for jim jordan",10/16/2023,USATODAY,2
"5 things podcast: scalise withdraws, calls for evacuation of gaza city",10/13/2023,USATODAY,2
"5 things podcast: second aid convoy to gaza, house without a speaker",10/23/2023,USATODAY,2
5 things podcast: two american hostages released by hamas,10/23/2023,USATODAY,2
5 things podcast: us spy planes search for hostages in gaza,11/6/2023,USATODAY,2
"5 things to know for april 1: gaza, bridge collapse, severe weather, weekend violence, ukraine aid",4/1/2024,CNN,2
"5 things to know for april 23: trump trial, gaza, ukraine, health care privacy, dubai floods",4/23/2024,CNN,2
"5 things to know for april 8: eclipse, gaza, ukraine, congress, boeing",4/8/2024,CNN,2
"5 things to know for dec 1: israel, trump trial, lead pipes, climate, tiktok ban",12/1/2023,CNN,2
"5 things to know for dec 13: ukraine, israel, climate deal, presidential race, toy safety",12/13/2023,CNN,2
"5 things to know for dec 14: israel, impeachment inquiry, us troops, tesla recall, diversity initiatives",12/14/2023,CNN,2
"5 things to know for dec 26: gaza, ukraine, iraq, extreme weather, serbia",12/26/2023,CNN,2
"5 things to know for dec 4: israel, prescription drugs, climate crisis, airline merger, volcanic eruption",12/4/2023,CNN,2
"5 things to know for dec 5: israel, presidential debate, terror plot foiled, border policy, floods",12/5/2023,CNN,2
"5 things to know for feb 1: big tech hearing, gaza, atmospheric rivers, migrant arrivals, robocalls",2/1/2024,CNN,2
"5 things to know for feb 12: super bowl, gaza, church shooting, aid package, king charles iii",2/12/2024,CNN,2
"5 things to know for feb 14: impeachment, valentine’s day strike, severe weather, gaza hostages, covid-19",2/14/2024,CNN,2
"5 things to know for feb 20: ukraine, gaza, record rainfall, virus season, space junk",2/20/2024,CNN,2
"5 things to know for feb 27: government shutdown, gaza ceasefire, grocery prices, social media, moon missions",2/27/2024,CNN,2
"5 things to know for jan 17: 2024 race, government shutdown, gaza hostages, cigarettes, unruly passengers",1/17/2024,CNN,2
"5 things to know for jan 23: 2024 race, israeli hostages, immigration, stock market, china earthquake",1/23/2024,CNN,2
"5 things to know for jan 24: presidential race, russia plane crash, gaza, tech industry, oscars",1/24/2024,CNN,2
"5 things to know for jan 9: extreme weather, plane safety, gaza, taxes, moon mission",1/9/2024,CNN,2
"5 things to know for july 15: trump rally shooting, power outages, gaza, small businesses, postage stamps",7/15/2024,CNN,2
"5 things to know for july 2: hurricane beryl, presidential immunity, social media, ukraine coup attempt, gaza",7/2/2024,CNN,2
"5 things to know for june 11: gaza ceasefire, hunter biden, gun violence, hurricane season, alzheimer’s drug",6/11/2024,CNN,2
"5 things to know for june 12: hunter biden guilty, gaza protests, economy, bus hijacking, medical debt",6/12/2024,CNN,2
"5 things to know for june 6: d-day, gaza, trump, covid-19 vaccines, severe weather",6/6/2024,CNN,2
"5 things to know for march 1: migrant crisis, extreme weather, government shutdown, gaza, covid-19",3/1/2024,CNN,2
"5 things to know for march 19: immigration, gaza, trump, gas prices, abortion",3/19/2024,CNN,2
"5 things to know for march 21: gaza, campaign cash, royal family, interest rates, microchips",3/21/2024,CNN,2
"5 things to know for march 28: bridge collapse, gaza, immigration, disney, crypto",3/28/2024,CNN,2
"5 things to know for march 4: election 2024, gaza, immigration, supreme court, north korea",3/4/2024,CNN,2
"5 things to know for march 5: super tuesday, gaza, ukraine, haiti, boeing",3/5/2024,CNN,2
"5 things to know for march 6: primaries, gaza, ukraine, tech companies, harvard",3/6/2024,CNN,2
"5 things to know for may 16: presidential debates, gaza, assassination attempt, campus unrest, stock market",5/16/2024,CNN,2
"5 things to know for may 8: trump, gaza, tiktok ban, storms, baltimore bridge",5/8/2024,CNN,2
"5 things to know for nov 14: israel, supreme court, immigration, climate crisis, applesauce recall",11/14/2023,CNN,2
"5 things to know for nov 15: dc march, israel, government shutdown, ohio bus crash, wall street",11/15/2023,CNN,2
"5 things to know for nov 17: trump agenda, israel, safe schools, george santos, apple",11/17/2023,CNN,2
"5 things to know for nov 20: israel, campaign trail, weather, freeway fire, microsoft",11/20/2023,CNN,2
"5 things to know for nov 21: israel, ai, seasonal viruses, trump, gun violence",11/21/2023,CNN,2
"5 things to know for nov 22: holiday travel, israel, artificial intelligence, alaska landslide, spy satellite",11/22/2023,CNN,2
"5 things to know for nov 27: israel, vermont shooting, ukraine, missing flight mh370, honda recall",11/27/2023,CNN,2
"5 things to know for nov 29: israel, presidential race, gas prices, fruit recall, france smoking ban",11/29/2023,CNN,2
"5 things to know for nov 3: israel, crypto, trump fraud trial, chemical ban, holiday shopping",11/3/2023,CNN,2
"5 things to know for nov 30: israel, henry kissinger, jerusalem shooting, immigration, covid-19",11/30/2023,CNN,2
"5 things to know for nov 8: elections, israel, g7 meeting, network outage, housing market",11/8/2023,CNN,2
"5 things to know for nov 9: gop debate, impeachment probe, israel, actors strike, meta",11/9/2023,CNN,2
"5 things to know for oct 10: israel, classified docs, presidential race, covid, chemical ban",10/10/2023,CNN,2
"5 things to know for oct 11: israel, house speaker, hurricane lidia, george santos, nasa",10/11/2023,CNN,2
"5 things to know for oct 12: israel, economy, house speaker, labor strikes, junk fees",10/12/2023,CNN,2
"5 things to know for oct 23: israel, house, synagogue leader, police shooting, student loans",10/23/2023,CNN,2
"5 things to know for oct 24: israel, house, flight disruption, snowstorm, auto strike",10/24/2023,CNN,2
"5 things to know for oct 25: israel, speaker saga, hurricane otis, immigration, social media",10/25/2023,CNN,2
5 us special operations troops killed in helicopter crash in mediterranean,11/12/2023,New York Times,2
"5,000 miles away, a michigan mayor at the center of the gaza storm",4/28/2024,Washington Post,2
"6 months in, the gaza war is in limbo which may help bibi stay in power",4/7/2024,Axios,2
7 us troops hurt in dramatic raid that killed numerous isis fighters,8/31/2024,Washington Post,2
"75 years of us support for israel, briefly explained",10/11/2023,CNN,2
8 israeli soldiers killed as fighting continues in southern gaza,6/15/2024,USATODAY,2
8 israeli soldiers killed in gaza in one of the deadliest incidents for the idf since october 7,6/16/2024,CNN,2
8 israeli soldiers killed in southern gaza in deadliest attack on israeli forces in months,6/15/2024,AP News,2
8 israeli troops killed in rafah; gazans prepare for somber eid holiday,6/15/2024,Washington Post,2
85-year-old held hostage in gaza says she ‘went through hell’,10/24/2023,New York Times,2
"9 israeli soldiers killed as ground offensive continues in gaza, despite us criticism",12/13/2023,AP News,2
9 israeli soldiers killed in gaza city ambush in sign that hamas resistance is still strong,12/13/2023,AP News,2
9 new books we recommend this week,11/30/2023,New York Times,2
90 killed in israeli strike,12/23/2023,USATODAY,2
92ny pauses literary reading series amid event cancellation backlash,10/23/2023,Washington Post,2
"a ‘national tragedy,’ 11 years later",12/14/2023,Politico,2
a ‘pearl harbor’ moment: why didn’t israel’s sophisticated border security stop saturday’s attack?,10/8/2023,CNN,2
a ‘tough riddle’ on gershkovich’s grim anniversary,3/29/2024,Politico,2
a ‘zionist in my heart': biden’s devotion to israel faces a new test,10/16/2023,AP News,2
a 180-year-old jewish paper is roiled by fabrications and a secret: who owns it?,9/30/2024,New York Times,2
a 1903 pogrom sparked calls for a jewish state — to prevent attacks like this one,10/14/2023,Washington Post,2
"a 4-year-old gaza boy lost his arm – and his family half a world away, he’s getting a second chance",3/4/2024,AP News,2
a 4-year-old gazan with a ‘one in a million’ illness has been offered a lifeline out of the territory,7/10/2024,CNN,2
a 5’4” veep from howard university…',8/22/2024,Politico,2
"a barred gate, a musty chamber and dirty dishes: inside the underground compound where israel says hostages were held",2/7/2024,CNN,2
a biden ally explains her cease-fire call,2/6/2024,Politico,2
"a biden thanksgiving: sweeping views of nantucket harbor, calls about israel",11/22/2023,New York Times,2
a birthday wish for the youngest hostage,1/10/2024,USATODAY,2
a blast killed hundreds at a hospital in gaza,10/17/2023,New York Times,2
a blinken visit puts us-israeli tensions on full display,2/8/2024,New York Times,2
a blinking red light for israel in american politics,4/4/2024,Politico,2
a bond unbroken: an israeli and a gazan find comfort in friendship,2/12/2024,Washington Post,2
a book celebrates james foley and confronts a man involved in his murder,3/10/2024,New York Times,2
a breakthrough climate deal,12/13/2023,New York Times,2
a british ally of jd vance opens up about the vice-presidential candidate,9/19/2024,Politico,2
a british politician calling for a cease-fire in gaza gets heckled by pro-palestinian protesters,1/20/2024,AP News,2
a broader israel-lebanon war now seems inevitable,9/20/2024,Washington Post,2
a california freshman makes waves in dc,11/8/2023,Politico,2
a campus protest movement seeks to regain momentum but faces hurdles,9/4/2024,New York Times,2
a case study in abortion politics,11/9/2023,New York Times,2
a catastrophic civil war in sudan,8/15/2024,New York Times,2
a cease-fire in gaza is set to begin tomorrow,11/22/2023,New York Times,2
a cease-fire in gaza might be the easy part fulfilling it will be harder,6/5/2024,New York Times,2
a chaotic capper to mccarthy’s 2023,12/12/2023,Politico,2
"a climate conference’s startling, self-defeating contradictions",12/8/2023,New York Times,2
a close look at some key evidence in the gaza hospital blast: visual investigations,10/24/2023,New York Times,2
a cluster on the christina river,5/6/2024,Politico,2
a conference in qatar is a venue for strong pro-palestinian views,12/10/2023,New York Times,2
a congress in crisis,2/7/2024,Washington Post,2
a crossword anniversary,11/26/2023,New York Times,2
a crucial demographic for biden,6/10/2024,Washington Post,2
a day of chaos in israel as far-right protesters storm military bases,7/30/2024,Axios,2
a day of fierce combat and diplomatic talks ends with a deal to try to help gazans reach safety,11/9/2023,New York Times,2
"a deadly airstrike, and gazans at the breaking point",10/31/2023,New York Times,2
"a deadly blast at a gaza hospital, and more",10/18/2023,New York Times,2
a deadly drone mix-up,1/29/2024,New York Times,2
a deadly israeli strike at a school turned shelter shatters a moment of cheer,7/10/2024,New York Times,2
a deadly russian missile attack,9/3/2024,New York Times,2
a deal between israel and hamas appears to be taking shape what would it look like?,2/28/2024,AP News,2
"a defiant netanyahu says no one can halt israel’s war to crush hamas, including the world court",1/14/2024,AP News,2
a delayed invasion,10/23/2023,New York Times,2
"a delegation of senior israelis was expected in qatar for cease-fire talks, and other news",7/9/2024,New York Times,2
"a denmark terror case has ‘links’ to hamas, a prosecutor tells local media",1/12/2024,AP News,2
a different approach to climate action,11/24/2023,New York Times,2
a disfigured woman whose case has become well known is among the palestinians released,11/25/2023,New York Times,2
a dispute between netanyahu and israel’s security chiefs spills into public view,8/5/2024,New York Times,2
a dna project’s mission: connect holocaust survivors with family they lost,12/13/2023,Washington Post,2
a dutch court rejects a claim the government is evading export ban on f-35 parts to israel,7/12/2024,AP News,2
a family flees and a mother mourns a fter israeli settlers attack a palestinian village,8/18/2024,New York Times,2
a father worries for his missing child: ‘my daughter didn’t go to war she just went to dance’,10/13/2023,AP News,2
a federal judge dismisses a suit to block us support of israel — but urges biden to re-examine his approach,1/31/2024,New York Times,2
a final graduation requirement: making sense of protest,5/28/2024,New York Times,2
a former israeli hostage fears for the women she left behind in gaza,1/15/2024,Washington Post,2
a former israeli hostage recalls the brutality of hamas captivity,6/1/2024,Washington Post,2
"a framework is in place on hostage, ceasefire deal after biden-netanyahu call, senior administration official says",7/4/2024,CNN,2
"a freed hostage was subject to psychological warfare during his captivity, his family says",6/12/2024,New York Times,2
"a freed israeli hostage relives horrors of captivity and fears for her husband, still held in gaza",1/16/2024,AP News,2
a friendship forged over 7 weeks of captivity lives on as freed women are reunited,11/30/2023,AP News,2
